# sector size     filename
00000037 0000F100 \1ST\1KAIZK40.TIM
00000056 0001E100 \1ST\1KAIZK41.TIM
00000093 0000F100 \1ST\2ZANKO40.TIM
000000B2 0001E100 \1ST\2ZANKO41.TIM
000000EF 0001E300 \1ST\2ZANKO80.TIM
0000012C 0003C300 \1ST\2ZANKO81.TIM
000001A5 00014B00 \1ST\BASE.VAB
000001CF 000A4B00 \1ST\BODYPROG.BIN
00000319 00035C00 \1ST\COATION.VAB
00000385 00002100 \1ST\FONT16.TIM
0000038A 00000900 \1ST\FONT8NOC.TIM
0000038C 00009700 \1ST\KONAMI.TIM
0000039F 00003000 \ANIM\AR.ANM
000003A5 00000F00 \ANIM\BIG.ANM
000003A7 00012F00 \ANIM\BIRD.ANM
000003CD 00005100 \ANIM\BTFY.ANM
000003D8 00000A00 \ANIM\CAFE.DMS
000003DA 00000800 \ANIM\CAFE2.DMS
000003DB 00001E00 \ANIM\CAT.ANM
000003DF 0000AA00 \ANIM\CKN.ANM
000003F5 00005900 \ANIM\CLD1.ANM
00000401 0000D300 \ANIM\CLD2.ANM
0000041C 00007800 \ANIM\COC.ANM
0000042B 00004000 \ANIM\DA.ANM
00000433 00000600 \ANIM\DEAD.ANM
00000434 00014200 \ANIM\DOG.ANM
0000045D 00004E00 \ANIM\EI.ANM
00000467 0000BB00 \ANIM\FAT.ANM
0000047F 00002F00 \ANIM\FRG.ANM
00000485 00015C00 \ANIM\HB_BASE.ANM
000004B1 00053200 \ANIM\HB_DUMMY.ANM
00000558 0000D500 \ANIM\HB_M0S00.ANM
00000573 00010000 \ANIM\HB_M0S01.ANM
00000593 00000000 \ANIM\HB_M0S02.ANM
00000593 0000DB00 \ANIM\HB_M1S00.ANM
000005AF 0000E400 \ANIM\HB_M1S01.ANM
000005CC 0000C200 \ANIM\HB_M1S02.ANM
000005E5 0000BA00 \ANIM\HB_M1S03.ANM
000005FD 00009900 \ANIM\HB_M1S04.ANM
00000611 00000000 \ANIM\HB_M1S05.ANM
00000611 00000000 \ANIM\HB_M1S06.ANM
00000611 00000000 \ANIM\HB_M2S00.ANM
00000611 00000000 \ANIM\HB_M2S01.ANM
00000611 00000000 \ANIM\HB_M2S02.ANM
00000611 00000000 \ANIM\HB_M2S03.ANM
00000611 00000000 \ANIM\HB_M2S04.ANM
00000611 00000000 \ANIM\HB_M3S00.ANM
00000611 00000000 \ANIM\HB_M3S01.ANM
00000611 00000000 \ANIM\HB_M3S02.ANM
00000611 00000000 \ANIM\HB_M3S03.ANM
00000611 00000000 \ANIM\HB_M3S04.ANM
00000611 00000000 \ANIM\HB_M3S05.ANM
00000611 00000000 \ANIM\HB_M3S06.ANM
00000611 00000000 \ANIM\HB_M4S00.ANM
00000611 00000000 \ANIM\HB_M4S01.ANM
00000611 00000000 \ANIM\HB_M4S02.ANM
00000611 00000000 \ANIM\HB_M4S03.ANM
00000611 00000000 \ANIM\HB_M4S04.ANM
00000611 00000000 \ANIM\HB_M4S05.ANM
00000611 00000000 \ANIM\HB_M4S06.ANM
00000611 00000000 \ANIM\HB_M5S00.ANM
00000611 00000000 \ANIM\HB_M5S01.ANM
00000611 00000000 \ANIM\HB_M5S02.ANM
00000611 00000000 \ANIM\HB_M5S03.ANM
00000611 00000000 \ANIM\HB_M6S00.ANM
00000611 00000000 \ANIM\HB_M6S01.ANM
00000611 00000000 \ANIM\HB_M6S02.ANM
00000611 00000000 \ANIM\HB_M6S03.ANM
00000611 00000000 \ANIM\HB_M6S04.ANM
00000611 00000000 \ANIM\HB_M6S05.ANM
00000611 00000000 \ANIM\HB_M7S00.ANM
00000611 00000000 \ANIM\HB_M7S01.ANM
00000611 00000000 \ANIM\HB_M7S02.ANM
00000611 00000000 \ANIM\HB_M7S03.ANM
00000611 00000000 \ANIM\HB_M7S04.ANM
00000611 00000000 \ANIM\HB_MTS00.ANM
00000611 00000000 \ANIM\HB_MXS00.ANM
00000611 00004500 \ANIM\HB_WEP1.ANM
0000061A 00005D00 \ANIM\HB_WEP2.ANM
00000626 00007700 \ANIM\HB_WEP3.ANM
00000635 00005F00 \ANIM\HB_WEP4.ANM
00000641 00002B00 \ANIM\HB_WEP51.ANM
00000647 00002900 \ANIM\HB_WEP52.ANM
0000064D 00003D00 \ANIM\HB_WEP53.ANM
00000655 00025D00 \ANIM\HR.ANM
000006A1 0000D700 \ANIM\HR_E01.ANM
000006BC 00004B00 \ANIM\JACK.ANM
000006C6 00002E00 \ANIM\KAU.ANM
000006CC 00000500 \ANIM\LOCKER.DMS
000006CD 00004100 \ANIM\LS.ANM
000006D6 0000DF00 \ANIM\MAN.ANM
000006F2 00005500 \ANIM\MKY.ANM
000006FD 00018300 \ANIM\MTH.ANM
0000072E 00000800 \ANIM\OPEN.DMS
0000072F 00004100 \ANIM\OST.ANM
00000738 00018E00 \ANIM\PRS.ANM
