# sector size     filename
00000039 0001E300 \1ST\2ZANKO80.TIM
00000076 00015F00 \1ST\BASE.VAB
000000A2 000A4500 \1ST\BODYPROG.BIN
000001EB 00035C00 \1ST\COATION.VAB
00000257 00002100 \1ST\FONT16.TIM
0000025C 00000900 \1ST\FONT8NOC.TIM
0000025E 00009700 \1ST\KCET.TIM
00000271 00009700 \1ST\KONAMI.TIM
00000284 00009700 \1ST\TAIKEN.TIM
00000297 00003000 \ANIM\AR.ANM
0000029D 00000F00 \ANIM\BIG.ANM
0000029F 00012F00 \ANIM\BIRD.ANM
000002C5 00010E00 \ANIM\BOS.ANM
000002E7 00005100 \ANIM\BTFY.ANM
000002F2 00000A00 \ANIM\CAFE.DMS
000002F4 00000800 \ANIM\CAFE2.DMS
000002F5 00001E00 \ANIM\CAT.ANM
000002F9 00001400 \ANIM\CHRC.DMS
000002FC 0000AA00 \ANIM\CKN.ANM
00000312 00005900 \ANIM\CLD1.ANM
0000031E 0000D300 \ANIM\CLD2.ANM
00000339 00007800 \ANIM\COC.ANM
00000348 0000B800 \ANIM\DA.ANM
0000035F 00000600 \ANIM\DEAD.ANM
00000360 00013A00 \ANIM\DOG.ANM
00000388 00004E00 \ANIM\EI.ANM
00000392 0000BB00 \ANIM\FAT.ANM
000003AA 00002F00 \ANIM\FRG.ANM
000003B0 00015C00 \ANIM\HB_BASE.ANM
000003DC 0004DA00 \ANIM\HB_DUMMY.ANM
00000478 0000D600 \ANIM\HB_M0S00.ANM
00000493 00010500 \ANIM\HB_M0S01.ANM
000004B4 00006400 \ANIM\HB_M0S02.ANM
000004C1 0000B800 \ANIM\HB_M1S00.ANM
000004D8 0000D300 \ANIM\HB_M1S01.ANM
000004F3 00012000 \ANIM\HB_M1S02.ANM
00000517 00011100 \ANIM\HB_M1S03.ANM
0000053A 0000AB00 \ANIM\HB_M1S04.ANM
00000550 00007D00 \ANIM\HB_M1S05.ANM
00000560 00001200 \ANIM\HB_M1S06.ANM
00000563 00002A00 \ANIM\HB_WEP1.ANM
00000569 00003A00 \ANIM\HB_WEP2.ANM
00000571 00002400 \ANIM\HB_WEP3.ANM
00000576 00003800 \ANIM\HB_WEP4.ANM
0000057D 00002100 \ANIM\HB_WEP51.ANM
00000582 00003000 \ANIM\HB_WEP52.ANM
00000588 00003300 \ANIM\HB_WEP53.ANM
0000058F 00002A00 \ANIM\HB_WEP6.ANM
00000595 00028300 \ANIM\HB_WEPAL.ANM
000005E6 00000700 \ANIM\HP1F03.DMS
000005E7 00025D00 \ANIM\HR.ANM
00000633 0000D700 \ANIM\HR_E01.ANM
0000064E 00000600 \ANIM\HSPTL2.DMS
0000064F 00004B00 \ANIM\JACK.ANM
00000659 00006B00 \ANIM\KAU.ANM
00000667 00000500 \ANIM\LOCKER.DMS
00000668 0001B100 \ANIM\LS.ANM
0000069F 0000DF00 \ANIM\MAN.ANM
000006BB 00005500 \ANIM\MKY.ANM
000006C6 00009400 \ANIM\MSB.ANM
000006D9 00018A00 \ANIM\MTH.ANM
0000070B 00000800 \ANIM\OPEN.DMS
0000070C 00004100 \ANIM\OST.ANM
00000715 0001B200 \ANIM\PRS.ANM
0000074C 0000C100 \ANIM\SBL.ANM
00000765 00000D00 \ANIM\SIP.DMS
00000767 0000C900 \ANIM\SLT.ANM
00000781 00002200 \ANIM\SNK.ANM
