# sector size     filename
00000038 0001E300 \1ST\2ZANKO80.TIM
00000075 00015F00 \1ST\BASE.VAB
000000A1 000A1A00 \1ST\BODYPROG.BIN
000001E5 00035C00 \1ST\COATION.VAB
00000251 00002100 \1ST\FONT16.TIM
00000256 00000900 \1ST\FONT8NOC.TIM
00000258 00009700 \1ST\KCET.TIM
0000026B 00012100 \1ST\KONAMI.TIM
00000290 00009700 \1ST\TAIKEN.TIM
000002A3 0000E000 \ANIM\AR.ANM
000002BF 00000F00 \ANIM\BIG.ANM
000002C1 00012F00 \ANIM\BIRD.ANM
000002E7 00010E00 \ANIM\BOS.ANM
00000309 00005100 \ANIM\BTFY.ANM
00000314 00000A00 \ANIM\CAFE.DMS
00000316 00000800 \ANIM\CAFE2.DMS
00000317 00001E00 \ANIM\CAT.ANM
0000031B 00001400 \ANIM\CHRC.DMS
0000031E 0000AA00 \ANIM\CKN.ANM
00000334 00005900 \ANIM\CLD1.ANM
00000340 0000D300 \ANIM\CLD2.ANM
0000035B 00007800 \ANIM\COC.ANM
0000036A 00011200 \ANIM\DA.ANM
0000038D 00000600 \ANIM\DEAD.ANM
0000038E 00013A00 \ANIM\DOG.ANM
000003B6 00004E00 \ANIM\EI.ANM
000003C0 0000BB00 \ANIM\FAT.ANM
000003D8 00002F00 \ANIM\FRG.ANM
000003DE 00015C00 \ANIM\HB_BASE.ANM
0000040A 00060F00 \ANIM\HB_DUMMY.ANM
000004CC 0000D600 \ANIM\HB_M0S00.ANM
000004E7 00010500 \ANIM\HB_M0S01.ANM
00000508 00006400 \ANIM\HB_M0S02.ANM
00000515 0000B800 \ANIM\HB_M1S00.ANM
0000052C 0000D300 \ANIM\HB_M1S01.ANM
00000547 00012000 \ANIM\HB_M1S02.ANM
0000056B 00011100 \ANIM\HB_M1S03.ANM
0000058E 0000AB00 \ANIM\HB_M1S04.ANM
000005A4 00007D00 \ANIM\HB_M1S05.ANM
000005B4 00001200 \ANIM\HB_M1S06.ANM
000005B7 00002A00 \ANIM\HB_WEP1.ANM
000005BD 00003A00 \ANIM\HB_WEP2.ANM
000005C5 00002400 \ANIM\HB_WEP3.ANM
000005CA 00003800 \ANIM\HB_WEP4.ANM
000005D1 00002100 \ANIM\HB_WEP51.ANM
000005D6 00003000 \ANIM\HB_WEP52.ANM
000005DC 00003300 \ANIM\HB_WEP53.ANM
000005E3 00002A00 \ANIM\HB_WEP6.ANM
000005E9 00028300 \ANIM\HB_WEPAL.ANM
0000063A 00000700 \ANIM\HP1F03.DMS
0000063B 00025D00 \ANIM\HR.ANM
00000687 0000D700 \ANIM\HR_E01.ANM
000006A2 00000600 \ANIM\HSPTL2.DMS
000006A3 00004B00 \ANIM\JACK.ANM
000006AD 00006B00 \ANIM\KAU.ANM
000006BB 00000500 \ANIM\LOCKER.DMS
000006BC 0001B100 \ANIM\LS.ANM
000006F3 0000DF00 \ANIM\MAN.ANM
0000070F 00005500 \ANIM\MKY.ANM
0000071A 00009400 \ANIM\MSB.ANM
0000072D 00018A00 \ANIM\MTH.ANM
0000075F 00000800 \ANIM\OPEN.DMS
00000760 00004100 \ANIM\OST.ANM
00000769 0001B200 \ANIM\PRS.ANM
000007A0 0000C100 \ANIM\SBL.ANM
000007B9 00000D00 \ANIM\SIP.DMS
000007BB 0000C900 \ANIM\SLT.ANM
000007D5 00002200 \ANIM\SNK.ANM
000007DA 00004A00 \ANIM\SPD.ANM
000007E4 00000D00 \ANIM\SQSU.DMS
000007E6 00002400 \ANIM\SRL.ANM
000007EB 00029D00 \ANIM\WRM.ANM
0000083F 00009F00 \BG\APR_GLB.PLM
00000853 00003700 \BG\APU_GLB.PLM
0000085A 00000500 \BG\BG_ITEM.PLM
0000085B 00004C00 \BG\DRU_GLB.PLM
00000865 00008100 \BG\DR_GLB.PLM
00000876 00006D00 \BG\MGR.PLM
00000884 00009D00 \BG\RSR_GLB.PLM
00000898 00009C00 \BG\RSU_GLB.PLM
000008AC 00005200 \BG\SC0000.IPD
000008B7 00005500 \BG\SC0001.IPD
000008C2 00005B00 \BG\SC0002.IPD
000008CE 00005B00 \BG\SC0003.IPD
000008DA 00001F00 \BG\SC00FE.IPD
000008DE 0000A500 \BG\SC00FF.IPD
000008F3 00006B00 \BG\SC0100.IPD
00000901 0000BC00 \BG\SC0101.IPD
00000919 00001F00 \BG\SC0102.IPD
0000091D 00009700 \BG\SC0103.IPD
00000930 00004B00 \BG\SC01FF.IPD
0000093A 0000A500 \BG\SC0200.IPD
0000094F 0000AE00 \BG\SC0201.IPD
00000965 00001F00 \BG\SC0202.IPD
00000969 00004700 \BG\SC0203.IPD
00000972 0000AC00 \BG\SC0300.IPD
00000988 0000AE00 \BG\SC0301.IPD
0000099E 0000A200 \BG\SC0302.IPD
000009B3 00005100 \BG\SC0303.IPD
000009BE 00006D00 \BG\SC0304.IPD
000009CC 00008100 \BG\SC1FL1.TIM
000009DD 00008100 \BG\SC1FL2.TIM
000009EE 00004100 \BG\SC1FLH.TIM
000009F7 00008200 \BG\SC1FSE1.TIM
00000A08 00008200 \BG\SC1FSE2.TIM
00000A19 00004200 \BG\SC1FSEH.TIM
00000A22 00008200 \BG\SC1FTC1.TIM
00000A33 00008200 \BG\SC1FTC2.TIM
00000A44 00004200 \BG\SC1FTCH.TIM
00000A4D 00008300 \BG\SC1FTD1.TIM
00000A5E 00008100 \BG\SC1FTD2.TIM
00000A6F 00004100 \BG\SC1FTDH.TIM
00000A78 00008100 \BG\SC1FTE1.TIM
00000A89 00008200 \BG\SC1FTE2.TIM
00000A9A 00008100 \BG\SC1FURA1.TIM
00000AAB 00008100 \BG\SC1FURA2.TIM
00000ABC 00008200 \BG\SC1FZ1.TIM
00000ACD 00008200 \BG\SC1FZ2.TIM
00000ADE 00004200 \BG\SC1FZH.TIM
00000AE7 00008200 \BG\SC2EX22F.TIM
00000AF8 00008200 \BG\SC2EX2F.TIM
00000B09 00008200 \BG\SC2FB11.TIM
00000B1A 00008300 \BG\SC2FB12.TIM
00000B2B 00008200 \BG\SC2FB21.TIM
00000B3C 00008300 \BG\SC2FB22.TIM
00000B4D 00008200 \BG\SC2FC11.TIM
00000B5E 00008300 \BG\SC2FC12.TIM
00000B6F 00004100 \BG\SC2FC1H.TIM
00000B78 00008200 \BG\SC2FC21.TIM
00000B89 00008300 \BG\SC2FC22.TIM
00000B9A 00004100 \BG\SC2FC2H.TIM
00000BA3 00008200 \BG\SC2FC31.TIM
00000BB4 00008300 \BG\SC2FC32.TIM
00000BC5 00004100 \BG\SC2FC3H.TIM
00000BCE 00008200 \BG\SC2FC41.TIM
00000BDF 00008300 \BG\SC2FC42.TIM
00000BF0 00004100 \BG\SC2FC4H.TIM
00000BF9 00008200 \BG\SC2FEX11.TIM
00000C0A 00008300 \BG\SC2FEX12.TIM
00000C1B 00008200 \BG\SC2FEX21.TIM
00000C2C 00008200 \BG\SC2FEX22.TIM
00000C3D 00004100 \BG\SC2FEX2H.TIM
00000C46 00008200 \BG\SC2FL1.TIM
00000C57 00008200 \BG\SC2FL2.TIM
00000C68 00008200 \BG\SC2FP1.TIM
00000C79 00008200 \BG\SC2FP2.TIM
00000C8A 00004100 \BG\SC2FPH.TIM
00000C93 00008300 \BG\SC2FT1.TIM
00000CA4 00008200 \BG\SC2FT2.TIM
00000CB5 00008300 \BG\SC2FTC1.TIM
00000CC6 00008100 \BG\SC2FTC2.TIM
00000CD7 00004100 \BG\SC2FTH.TIM
00000CE0 00008200 \BG\SC2FWM1.TIM
00000CF1 00008200 \BG\SC2FWM2.TIM
00000D02 00008200 \BG\SC2FWW1.TIM
00000D13 00008100 \BG\SC2FWW2.TIM
00000D24 00008200 \BG\SC3FT1.TIM
00000D35 00008100 \BG\SC3FT2.TIM
00000D46 00004100 \BG\SC3FTH.TIM
00000D4F 00008100 \BG\SCBBXF.TIM
00000D60 00008200 \BG\SCBFB1.TIM
00000D71 00008200 \BG\SCBFB2.TIM
00000D82 00004100 \BG\SCBFBH.TIM
00000D8B 00005200 \BG\SCFC00.IPD
00000D96 00005500 \BG\SCFC01.IPD
00000DA1 0000A200 \BG\SCFC02.IPD
00000DB6 0000A900 \BG\SCFC03.IPD
00000DCC 00002700 \BG\SCFCFE.IPD
00000DD1 00007300 \BG\SCFD00.IPD
00000DE0 0000CD00 \BG\SCFD01.IPD
00000DFA 00009600 \BG\SCFD02.IPD
00000E0D 00008100 \BG\SCFD03.IPD
00000E1E 00002700 \BG\SCFDFE.IPD
00000E23 00005700 \BG\SCFE00.IPD
00000E2E 0000A500 \BG\SCFE01.IPD
00000E43 00008700 \BG\SCFE02.IPD
00000E54 00008000 \BG\SCFE03.IPD
00000E64 00003D00 \BG\SCFEFE.IPD
00000E6C 00002E00 \BG\SCFEFF.IPD
00000E72 00008900 \BG\SCFF00.IPD
00000E84 0000AE00 \BG\SCFF01.IPD
00000E9A 0000AF00 \BG\SCFF02.IPD
00000EB0 00006C00 \BG\SCFF04.IPD
00000EBE 0000C900 \BG\SCFFFE.IPD
00000ED8 00007800 \BG\SCFFFF.IPD
00000EE7 0000A000 \BG\SPR_GLB.PLM
00000EFB 00009A00 \BG\SPU_GLB.PLM
00000F0F 0000B700 \BG\SU0000.IPD
00000F26 0000C900 \BG\SU0001.IPD
00000F40 00004B00 \BG\SU0002.IPD
00000F4A 00007F00 \BG\SU0003.IPD
00000F5A 0000E200 \BG\SU00FE.IPD
00000F77 00007D00 \BG\SU00FF.IPD
00000F87 00009200 \BG\SU0100.IPD
00000F9A 0000A300 \BG\SU0101.IPD
00000FAF 00001F00 \BG\SU0102.IPD
00000FB3 0000D400 \BG\SU0103.IPD
00000FCE 0000A400 \BG\SU01FE.IPD
00000FE3 0000E300 \BG\SU01FF.IPD
00001000 0000A900 \BG\SU0200.IPD
00001016 00009700 \BG\SU0201.IPD
00001029 00011800 \BG\SU0202.IPD
0000104C 00006300 \BG\SU0203.IPD
00001059 00006800 \BG\SU0300.IPD
00001066 00005300 \BG\SU0301.IPD
00001071 00005F00 \BG\SU0302.IPD
0000107D 00004B00 \BG\SU0303.IPD
00001087 00005E00 \BG\SU0304.IPD
00001093 00008100 \BG\SU1FL1.TIM
