# sector size     filename
00000038 0001E300 \1ST\2ZANKO80.TIM
00000075 00015F00 \1ST\BASE.VAB
000000A1 000A0F00 \1ST\BODYPROG.BIN
000001E3 00035C00 \1ST\COATION.VAB
0000024F 00002100 \1ST\FONT16.TIM
00000254 00000900 \1ST\FONT8NOC.TIM
00000256 00009700 \1ST\KCET.TIM
00000269 00012100 \1ST\KONAMI.TIM
0000028E 00009700 \1ST\TAIKEN.TIM
000002A1 0000E000 \ANIM\AR.ANM
000002BD 00000F00 \ANIM\BIG.ANM
000002BF 00012F00 \ANIM\BIRD.ANM
000002E5 00010E00 \ANIM\BOS.ANM
00000307 00005100 \ANIM\BTFY.ANM
00000312 00000A00 \ANIM\CAFE.DMS
00000314 00000800 \ANIM\CAFE2.DMS
00000315 00001E00 \ANIM\CAT.ANM
00000319 00001400 \ANIM\CHRC.DMS
0000031C 0000AA00 \ANIM\CKN.ANM
00000332 00005900 \ANIM\CLD1.ANM
0000033E 0000D300 \ANIM\CLD2.ANM
00000359 00007800 \ANIM\COC.ANM
00000368 00011200 \ANIM\DA.ANM
0000038B 00000600 \ANIM\DEAD.ANM
0000038C 00013A00 \ANIM\DOG.ANM
000003B4 00004E00 \ANIM\EI.ANM
000003BE 0000BB00 \ANIM\FAT.ANM
000003D6 00002F00 \ANIM\FRG.ANM
000003DC 00015C00 \ANIM\HB_BASE.ANM
00000408 00060F00 \ANIM\HB_DUMMY.ANM
000004CA 0000D600 \ANIM\HB_M0S00.ANM
000004E5 00010500 \ANIM\HB_M0S01.ANM
00000506 00006400 \ANIM\HB_M0S02.ANM
00000513 0000B800 \ANIM\HB_M1S00.ANM
0000052A 0000D300 \ANIM\HB_M1S01.ANM
00000545 00012000 \ANIM\HB_M1S02.ANM
00000569 00011100 \ANIM\HB_M1S03.ANM
0000058C 0000AB00 \ANIM\HB_M1S04.ANM
000005A2 00007D00 \ANIM\HB_M1S05.ANM
000005B2 00001200 \ANIM\HB_M1S06.ANM
000005B5 00002A00 \ANIM\HB_WEP1.ANM
000005BB 00003A00 \ANIM\HB_WEP2.ANM
000005C3 00002400 \ANIM\HB_WEP3.ANM
000005C8 00003800 \ANIM\HB_WEP4.ANM
000005CF 00002100 \ANIM\HB_WEP51.ANM
000005D4 00003000 \ANIM\HB_WEP52.ANM
000005DA 00003300 \ANIM\HB_WEP53.ANM
000005E1 00002A00 \ANIM\HB_WEP6.ANM
000005E7 00028300 \ANIM\HB_WEPAL.ANM
00000638 00000700 \ANIM\HP1F03.DMS
00000639 00025D00 \ANIM\HR.ANM
00000685 0000D700 \ANIM\HR_E01.ANM
000006A0 00000600 \ANIM\HSPTL2.DMS
000006A1 00004B00 \ANIM\JACK.ANM
000006AB 00006B00 \ANIM\KAU.ANM
000006B9 00000500 \ANIM\LOCKER.DMS
000006BA 0001B100 \ANIM\LS.ANM
