# sector size     filename
00000040 00012F00 \1ST\2ZANKO80.TIM
00000066 00012F00 \1ST\2ZANKO_E.TIM
0000008C 00021500 \1ST\BASE.VAB
000000CF 000A4700 \1ST\BODYPROG.BIN
00000218 00035C00 \1ST\COATION.VAB
00000284 00002100 \1ST\FONT16.TIM
00000289 00000900 \1ST\FONT8NOC.TIM
0000028B 00012100 \1ST\KONAMI.TIM
000002B0 00008300 \1ST\KONAMI2.TIM
000002C1 00009700 \1ST\NO_BLK_E.TIM
000002D4 00009700 \1ST\NO_BLOCK.TIM
000002E7 00009700 \1ST\NO_MCD_E.TIM
000002FA 00009700 \1ST\NO_MEMCD.TIM
0000030D 00000C00 \ANIM\AMUSE1.DMS
0000030F 00004100 \ANIM\AMUSE2.DMS
00000318 00000500 \ANIM\AMUSE2B.DMS
00000319 00001A00 \ANIM\AQRM.DMS
0000031D 00000E00 \ANIM\AQSH1.DMS
0000031F 0000EB00 \ANIM\AR.ANM
0000033D 00013C00 \ANIM\BAR.ANM
00000365 0000F500 \ANIM\BAR_LAST.ANM
00000384 00002000 \ANIM\BFLU.ANM
00000388 00000F00 \ANIM\BIG.ANM
0000038A 00012F00 \ANIM\BIRD.ANM
000003B0 00004A00 \ANIM\BLS.ANM
000003BA 00010C00 \ANIM\BOS.ANM
000003DC 00005100 \ANIM\BTFY.ANM
000003E7 00001300 \ANIM\CAFE.DMS
000003EA 00000800 \ANIM\CAFE2.DMS
000003EB 00001E00 \ANIM\CAT.ANM
000003EF 00001400 \ANIM\CHRC.DMS
000003F2 0000AA00 \ANIM\CKN.ANM
00000408 00005900 \ANIM\CLD1.ANM
00000414 00011300 \ANIM\CLD2.ANM
00000437 00007800 \ANIM\COC.ANM
00000446 0000F300 \ANIM\DA.ANM
00000465 0000C100 \ANIM\DA2.ANM
0000047E 00000600 \ANIM\DEAD.ANM
0000047F 00000C00 \ANIM\DOB.ANM
00000481 00000C00 \ANIM\DOC.ANM
00000483 00013A00 \ANIM\DOG.ANM
000004AB 00000300 \ANIM\DRIVR.DMS
000004AC 00000200 \ANIM\DUMMY.ANM
000004AD 00001E00 \ANIM\DWSTWY.DMS
000004B1 00004E00 \ANIM\EI.ANM
000004BB 00002800 \ANIM\ENDAA.DMS
000004C0 00000A00 \ANIM\ENDAB.DMS
000004C2 00001B00 \ANIM\ENDBA.DMS
000004C6 00000500 \ANIM\ENDBB.DMS
000004C7 00002000 \ANIM\ENDC.DMS
000004CB 0000BB00 \ANIM\FAT.ANM
000004E3 00002F00 \ANIM\FRG.ANM
000004E9 00000A00 \ANIM\GARAGE1.DMS
000004EB 00000200 \ANIM\HALLWAY.DMS
000004EC 0001DA00 \ANIM\HBM6_S4B.ANM
00000528 00009500 \ANIM\HBM6_S4C.ANM
0000053B 00008000 \ANIM\HBM7_SLS.ANM
0000054B 00015C00 \ANIM\HB_BASE.ANM
00000577 0008FB00 \ANIM\HB_DUMMY.ANM
00000697 0000D600 \ANIM\HB_M0S00.ANM
000006B2 0000FA00 \ANIM\HB_M0S01.ANM
000006D2 00004600 \ANIM\HB_M0S02.ANM
000006DB 0000A600 \ANIM\HB_M1S00.ANM
000006F0 0000C000 \ANIM\HB_M1S01.ANM
00000708 00012000 \ANIM\HB_M1S02.ANM
0000072C 00011100 \ANIM\HB_M1S03.ANM
0000074F 00000000 \ANIM\HB_M1S04.ANM
0000074F 00004D00 \ANIM\HB_M1S05.ANM
00000759 00001200 \ANIM\HB_M1S06.ANM
0000075C 0000B500 \ANIM\HB_M2S00.ANM
00000773 00002D00 \ANIM\HB_M2S01.ANM
00000779 00009E00 \ANIM\HB_M2S02.ANM
0000078D 00000000 \ANIM\HB_M2S03.ANM
0000078D 00004D00 \ANIM\HB_M2S04.ANM
00000797 00004500 \ANIM\HB_M3S00.ANM
000007A0 0000BC00 \ANIM\HB_M3S01.ANM
000007B8 0000AC00 \ANIM\HB_M3S02.ANM
000007CE 0000D600 \ANIM\HB_M3S03.ANM
000007E9 00010600 \ANIM\HB_M3S04.ANM
0000080A 00010B00 \ANIM\HB_M3S05.ANM
0000082C 00003800 \ANIM\HB_M3S06.ANM
00000833 00000000 \ANIM\HB_M4S00.ANM
00000833 0000E900 \ANIM\HB_M4S01.ANM
00000851 0000AA00 \ANIM\HB_M4S02.ANM
00000867 0000C000 \ANIM\HB_M4S03.ANM
0000087F 00003600 \ANIM\HB_M4S04.ANM
00000886 00006300 \ANIM\HB_M4S05.ANM
00000893 00000000 \ANIM\HB_M4S06.ANM
00000893 0000B100 \ANIM\HB_M5S00.ANM
000008AA 0000A500 \ANIM\HB_M5S01.ANM
000008BF 0000CB00 \ANIM\HB_M5S02.ANM
000008D9 0000AB00 \ANIM\HB_M5S03.ANM
000008EF 0000E400 \ANIM\HB_M6S00.ANM
0000090C 00001F00 \ANIM\HB_M6S01.ANM
00000910 0000CC00 \ANIM\HB_M6S02.ANM
0000092A 0000A600 \ANIM\HB_M6S03.ANM
0000093F 00007B00 \ANIM\HB_M6S04.ANM
0000094F 00000000 \ANIM\HB_M6S05.ANM
0000094F 00005B00 \ANIM\HB_M7S00.ANM
0000095B 0000FA00 \ANIM\HB_M7S01.ANM
0000097B 00012700 \ANIM\HB_M7S02.ANM
000009A0 0001DA00 \ANIM\HB_M7S03.ANM
000009DC 00005B00 \ANIM\HB_MTS00.ANM
000009E8 0000BD00 \ANIM\HB_MXS00.ANM
00000A00 00002A00 \ANIM\HB_WEP1.ANM
00000A06 00003A00 \ANIM\HB_WEP2.ANM
00000A0E 00002600 \ANIM\HB_WEP3.ANM
00000A13 00003800 \ANIM\HB_WEP4.ANM
00000A1A 00002E00 \ANIM\HB_WEP51.ANM
00000A20 00002E00 \ANIM\HB_WEP52.ANM
00000A26 00000800 \ANIM\HB_WEP53.ANM
00000A27 00003600 \ANIM\HB_WEP6.ANM
00000A2E 00002D00 \ANIM\HB_WEP8.ANM
00000A34 00002400 \ANIM\HB_WEP9.ANM
00000A39 0003B900 \ANIM\HB_WEPAL.ANM
00000AB1 00000200 \ANIM\HIDDEN1.DMS
00000AB2 00000B00 \ANIM\HP1F03.DMS
00000AB4 00025D00 \ANIM\HR.ANM
00000B00 0000D700 \ANIM\HR_E01.ANM
00000B1B 00000600 \ANIM\HSPTL2.DMS
00000B1C 00000900 \ANIM\HSPTL3.DMS
00000B1E 00000400 \ANIM\HSPTL4.DMS
00000B1F 00001500 \ANIM\HSPTL5.DMS
00000B22 00000700 \ANIM\HSPTL6.DMS
00000B23 00001400 \ANIM\ICU.ANM
00000B26 00005A00 \ANIM\JACK.ANM
00000B32 00010300 \ANIM\KAU.ANM
00000B53 0000A200 \ANIM\KAU2.ANM
00000B68 00002800 \ANIM\KAU_LAST.ANM
00000B6D 00000B00 \ANIM\KITCHEN1.DMS
00000B6F 00001000 \ANIM\LAST12.DMS
00000B71 00004300 \ANIM\LAST3.DMS
00000B7A 00006100 \ANIM\LAST4.DMS
00000B87 00001800 \ANIM\LAST5.DMS
00000B8A 00002000 \ANIM\LITL.ANM
00000B8E 00000800 \ANIM\LOCKER.DMS
00000B8F 00000500 \ANIM\LOOKAR.DMS
00000B90 0001BD00 \ANIM\LS.ANM
00000BC8 0000DF00 \ANIM\MAN.ANM
00000BE4 00006F00 \ANIM\MAR.ANM
00000BF2 00004000 \ANIM\MAR_LAST.ANM
00000BFA 00005500 \ANIM\MKY.ANM
00000C05 0000E600 \ANIM\MSB.ANM
00000C22 00018A00 \ANIM\MTH.ANM
00000C54 00001500 \ANIM\NURSE1.DMS
00000C57 00001100 \ANIM\NURSE2.DMS
00000C5A 00000800 \ANIM\OPEN.DMS
00000C5B 00004100 \ANIM\OST.ANM
00000C64 00001800 \ANIM\PARK.DMS
00000C67 00001700 \ANIM\POOL1.DMS
00000C6A 0001B400 \ANIM\PRS.ANM
00000CA1 00008700 \ANIM\ROD.ANM
00000CB2 00000800 \ANIM\RSU.DMS
00000CB3 0000F800 \ANIM\SBL.ANM
00000CD2 0000E500 \ANIM\SBL2.ANM
00000CEF 0000AC00 \ANIM\SBL_LAST.ANM
00000D05 00001800 \ANIM\SIP.DMS
00000D08 0000C900 \ANIM\SLT.ANM
00000D22 00002200 \ANIM\SNK.ANM
00000D27 00004A00 \ANIM\SPD.ANM
00000D31 00000F00 \ANIM\SQSU.DMS
00000D33 00002400 \ANIM\SRL.ANM
00000D38 00005600 \ANIM\TAR.ANM
00000D43 00002700 \ANIM\TDA.ANM
00000D48 00000300 \ANIM\UFO1.DMS
00000D49 00000300 \ANIM\UFO2.DMS
00000D4A 00000300 \ANIM\UFO3.DMS
00000D4B 00000300 \ANIM\UFO4.DMS
00000D4C 00000300 \ANIM\UFO5.DMS
00000D4D 00029D00 \ANIM\WRM.ANM
00000DA1 00004200 \BG\AMBCARF.TIM
00000DAA 00004200 \BG\AMBCARH.TIM
00000DB3 00009F00 \BG\APR_GLB.PLM
00000DC7 00008D00 \BG\APU0000.IPD
00000DD9 0000A700 \BG\APU0002.IPD
00000DEE 00002B00 \BG\APU00FE.IPD
00000DF4 0000A600 \BG\APU00FF.IPD
00000E09 00008100 \BG\APU01F.TIM
